Project ID,Project Name,Owner,City/State,Unit,Tenant,Tenant SF,Tenant Category,Original Category,Main Mix Group,Size Bucket,Is Grocery,Is Available,Is Anchor by SF,Explicit Anchor,0-10K Store,Manual Check Notes,TJ Address,PDF File,PDF Path,Site Plan Image Path
120000,Wellington Green,Kimco,,9,OliveU,2268,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,10,Sleep Number,3023,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,11,JETSET Modern Pilates,2500,Fitness,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,12,BP Amoco,2900,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,13,Goddard School of Wellington,8000,Education,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,14,Allura Med-Spa + Wellness,1050,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,15,Available,2100,Vacancy,,Vacancy,0-3k,FALSE,TRUE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,16,Union Salon,1050,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,17,Whole Foods Market,49979,Grocery,,Food,10k+,TRUE,FALSE,TRUE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,18,"Flagstar Bank, N.A",2800,Financial,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,19,Orangetheory Fitness,2800,Fitness,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,20,Latch Life Barber,1400,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,21,Care Dental,1865,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
